Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Joshua Dobbs (25323181),Joshua Dobbs,25323181,QB,4900,CLE@BUF 11/20/2022 01:00PM ET,CLE,0
QB,Bailey Zappe (25323174),Bailey Zappe,25323174,QB,4900,NYJ@NE 11/20/2022 01:00PM ET,NE,12.16
QB,Mike White (25323179),Mike White,25323179,QB,4900,NYJ@NE 11/20/2022 01:00PM ET,NYJ,0
QB,Joe Flacco (25323180),Joe Flacco,25323180,QB,4900,NYJ@NE 11/20/2022 01:00PM ET,NYJ,18.88
WR,Garrett Wilson (25323538),Garrett Wilson,25323538,WR/FLEX,4900,NYJ@NE 11/20/2022 01:00PM ET,NYJ,12.51
QB,John Wolford (25323177),John Wolford,25323177,QB,4900,LAR@NO 11/20/2022 01:00PM ET,LAR,10.78
QB,Jarrett Stidham (25323178),Jarrett Stidham,25323178,QB,4900,LV@DEN 11/20/2022 04:05PM ET,LV,1.44
QB,Cooper Rush (25323176),Cooper Rush,25323176,QB,4900,DAL@MIN 11/20/2022 04:25PM ET,DAL,9.73
QB,Brandon Allen (25323175),Brandon Allen,25323175,QB,4900,CIN@PIT 11/20/2022 04:25PM ET,CIN,0.78
RB,Jaylen Warren (25323282),Jaylen Warren,25323282,RB/FLEX,4900,CIN@PIT 11/20/2022 04:25PM ET,PIT,5.2
QB,Trevor Siemian (25323184),Trevor Siemian,25323184,QB,4800,CHI@ATL 11/20/2022 01:00PM ET,CHI,0.2
WR,Chase Claypool (25323540),Chase Claypool,25323540,WR/FLEX,4800,CHI@ATL 11/20/2022 01:00PM ET,CHI,8.41
QB,Kyle Allen (25323183),Kyle Allen,25323183,QB,4800,WAS@HOU 11/20/2022 01:00PM ET,HOU,0
RB,Kyren Williams (25323292),Kyren Williams,25323292,RB/FLEX,4800,LAR@NO 11/20/2022 01:00PM ET,LAR,3.45
QB,Nate Sudfeld (25323185),Nate Sudfeld,25323185,QB,4800,DET@NYG 11/20/2022 01:00PM ET,DET,0
QB,Nick Mullens (25323182),Nick Mullens,25323182,QB,4800,DAL@MIN 11/20/2022 04:25PM ET,MIN,-0.12
QB,Mason Rudolph (25323186),Mason Rudolph,25323186,QB,4800,CIN@PIT 11/20/2022 04:25PM ET,PIT,0
WR,Josh Reynolds (25323542),Josh Reynolds,25323542,WR/FLEX,4700,DET@NYG 11/20/2022 01:00PM ET,DET,10.53
RB,Ameer Abdullah (25323294),Ameer Abdullah,25323294,RB/FLEX,4700,LV@DEN 11/20/2022 04:05PM ET,LV,2.43
TE,Darren Waller (25323910),Darren Waller,25323910,TE/FLEX,4700,LV@DEN 11/20/2022 04:05PM ET,LV,7.9
WR,Donovan Peoples-Jones (25323550),Donovan Peoples-Jones,25323550,WR/FLEX,4600,CLE@BUF 11/20/2022 01:00PM ET,CLE,9.53
RB,J.D. McKissic (25323290),J.D. McKissic,25323290,RB/FLEX,4600,WAS@HOU 11/20/2022 01:00PM ET,WAS,6.98
RB,Matt Breida (25323288),Matt Breida,25323288,RB/FLEX,4600,DET@NYG 11/20/2022 01:00PM ET,NYG,2.3
WR,Wan'Dale Robinson (25323544),Wan'Dale Robinson,25323544,WR/FLEX,4600,DET@NYG 11/20/2022 01:00PM ET,NYG,6.44
RB,Justice Hill (25323296),Justice Hill,25323296,RB/FLEX,4500,CAR@BAL 11/20/2022 01:00PM ET,BAL,3.67
WR,Van Jefferson (25323546),Van Jefferson,25323546,WR/FLEX,4500,LAR@NO 11/20/2022 01:00PM ET,LAR,3.9
WR,Jarvis Landry (25323554),Jarvis Landry,25323554,WR/FLEX,4500,LAR@NO 11/20/2022 01:00PM ET,NO,8.7
WR,Kalif Raymond (25323548),Kalif Raymond,25323548,WR/FLEX,4500,DET@NYG 11/20/2022 01:00PM ET,DET,6.06
RB,Mike Boone (25323298),Mike Boone,25323298,RB/FLEX,4500,LV@DEN 11/20/2022 04:05PM ET,DEN,2.9
WR,Mack Hollins (25323552),Mack Hollins,25323552,WR/FLEX,4500,LV@DEN 11/20/2022 04:05PM ET,LV,9.64
RB,Caleb Huntley (25323304),Caleb Huntley,25323304,RB/FLEX,4400,CHI@ATL 11/20/2022 01:00PM ET,ATL,4.89
TE,Kyle Pitts (25323912),Kyle Pitts,25323912,TE/FLEX,4400,CHI@ATL 11/20/2022 01:00PM ET,ATL,7.59
WR,Terrace Marshall Jr. (25323562),Terrace Marshall Jr.,25323562,WR/FLEX,4400,CAR@BAL 11/20/2022 01:00PM ET,CAR,6.34
RB,James Cook (25323302),James Cook,25323302,RB/FLEX,4400,CLE@BUF 11/20/2022 01:00PM ET,BUF,4.28
WR,Isaiah McKenzie (25323556),Isaiah McKenzie,25323556,WR/FLEX,4400,CLE@BUF 11/20/2022 01:00PM ET,BUF,9.18
RB,Rex Burkhead (25323310),Rex Burkhead,25323310,RB/FLEX,4400,WAS@HOU 11/20/2022 01:00PM ET,HOU,6.36
WR,Jahan Dotson (25323558),Jahan Dotson,25323558,WR/FLEX,4400,WAS@HOU 11/20/2022 01:00PM ET,WAS,10.92
RB,Boston Scott (25323300),Boston Scott,25323300,RB/FLEX,4400,PHI@IND 11/20/2022 01:00PM ET,PHI,2.11
RB,Cam Akers (25323308),Cam Akers,25323308,RB/FLEX,4400,LAR@NO 11/20/2022 01:00PM ET,LAR,3.77
RB,Chase Edmonds (25323306),Chase Edmonds,25323306,RB/FLEX,4400,LV@DEN 11/20/2022 04:05PM ET,DEN,5.72
RB,Zack Moss (25323316),Zack Moss,25323316,RB/FLEX,4300,PHI@IND 11/20/2022 01:00PM ET,IND,3.03
WR,Parris Campbell (25323564),Parris Campbell,25323564,WR/FLEX,4300,PHI@IND 11/20/2022 01:00PM ET,IND,9.72
RB,Dwayne Washington (25323314),Dwayne Washington,25323314,RB/FLEX,4300,LAR@NO 11/20/2022 01:00PM ET,NO,0.61
WR,Hunter Renfrow (25323560),Hunter Renfrow,25323560,WR/FLEX,4300,LV@DEN 11/20/2022 04:05PM ET,LV,6.53
RB,Malik Davis (25323312),Malik Davis,25323312,RB/FLEX,4300,DAL@MIN 11/20/2022 04:25PM ET,DAL,2.48
TE,Dalton Schultz (25323914),Dalton Schultz,25323914,TE/FLEX,4300,DAL@MIN 11/20/2022 04:25PM ET,DAL,8.1
RB,Trestan Ebner (25323318),Trestan Ebner,25323318,RB/FLEX,4200,CHI@ATL 11/20/2022 01:00PM ET,CHI,0.64
RB,Ty Johnson (25323320),Ty Johnson,25323320,RB/FLEX,4200,NYJ@NE 11/20/2022 01:00PM ET,NYJ,0.62
WR,Corey Davis (25323568),Corey Davis,25323568,WR/FLEX,4200,NYJ@NE 11/20/2022 01:00PM ET,NYJ,9.44
WR,DJ Chark Jr. (25323566),DJ Chark Jr.,25323566,WR/FLEX,4200,DET@NYG 11/20/2022 01:00PM ET,DET,7.6
TE,Pat Freiermuth (25323916),Pat Freiermuth,25323916,TE/FLEX,4200,CIN@PIT 11/20/2022 04:25PM ET,PIT,10.29
TE,Cole Kmet (25323918),Cole Kmet,25323918,TE/FLEX,4100,CHI@ATL 11/20/2022 01:00PM ET,CHI,8.13
RB,Raheem Blackshear (25323322),Raheem Blackshear,25323322,RB/FLEX,4100,CAR@BAL 11/20/2022 01:00PM ET,CAR,3.02
QB,Sam Howell (25323187),Sam Howell,25323187,QB,4100,WAS@HOU 11/20/2022 01:00PM ET,WAS,0
WR,Nico Collins (25323574),Nico Collins,25323574,WR/FLEX,4100,WAS@HOU 11/20/2022 01:00PM ET,HOU,9.2
WR,DeVante Parker (25323570),DeVante Parker,25323570,WR/FLEX,4100,NYJ@NE 11/20/2022 01:00PM ET,NE,7.01
WR,Tre'Quan Smith (25323572),Tre'Quan Smith,25323572,WR/FLEX,4100,LAR@NO 11/20/2022 01:00PM ET,NO,6.55
QB,Nathan Peterman (25323203),Nathan Peterman,25323203,QB,4000,CHI@ATL 11/20/2022 01:00PM ET,CHI,0
RB,Avery Williams (25323364),Avery Williams,25323364,RB/FLEX,4000,CHI@ATL 11/20/2022 01:00PM ET,ATL,2.58
RB,Damien Williams (25323366),Damien Williams,25323366,RB/FLEX,4000,CHI@ATL 11/20/2022 01:00PM ET,ATL,0.2
RB,B.J. Baylor (25323368),B.J. Baylor,25323368,RB/FLEX,4000,CHI@ATL 11/20/2022 01:00PM ET,ATL,0
RB,Keith Smith (25323370),Keith Smith,25323370,RB/FLEX,4000,CHI@ATL 11/20/2022 01:00PM ET,ATL,0.2
RB,Khari Blasingame (25323428),Khari Blasingame,25323428,RB/FLEX,4000,CHI@ATL 11/20/2022 01:00PM ET,CHI,0
RB,Darrynton Evans (25323430),Darrynton Evans,25323430,RB/FLEX,4000,CHI@ATL 11/20/2022 01:00PM ET,CHI,0
WR,Olamide Zaccheaus (25323584),Olamide Zaccheaus,25323584,WR/FLEX,4000,CHI@ATL 11/20/2022 01:00PM ET,ATL,7.09
QB,Anthony Brown (25323188),Anthony Brown,25323188,QB,4000,CAR@BAL 11/20/2022 01:00PM ET,BAL,0
QB,Matt Corral (25323207),Matt Corral,25323207,QB,4000,CAR@BAL 11/20/2022 01:00PM ET,CAR,0
RB,Mike Davis (25323324),Mike Davis,25323324,RB/FLEX,4000,CAR@BAL 11/20/2022 01:00PM ET,BAL,0.5
RB,J.K. Dobbins (25323326),J.K. Dobbins,25323326,RB/FLEX,4000,CAR@BAL 11/20/2022 01:00PM ET,BAL,8.55
RB,Tyler Badie (25323328),Tyler Badie,25323328,RB/FLEX,4000,CAR@BAL 11/20/2022 01:00PM ET,BAL,0
RB,Patrick Ricard (25323330),Patrick Ricard,25323330,RB/FLEX,4000,CAR@BAL 11/20/2022 01:00PM ET,BAL,1.67
