Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,K.J. Osborn (25323578),K.J. Osborn,25323578,WR/FLEX,4000,DAL@MIN 11/20/2022 04:25PM ET,MIN,6.57
QB,Jake Browning (25323191),Jake Browning,25323191,QB,4000,CIN@PIT 11/20/2022 04:25PM ET,CIN,0
RB,Chris Evans (25323346),Chris Evans,25323346,RB/FLEX,4000,CIN@PIT 11/20/2022 04:25PM ET,CIN,0.56
RB,Trayveon Williams (25323348),Trayveon Williams,25323348,RB/FLEX,4000,CIN@PIT 11/20/2022 04:25PM ET,CIN,0
RB,Elijah Holyfield (25323350),Elijah Holyfield,25323350,RB/FLEX,4000,CIN@PIT 11/20/2022 04:25PM ET,CIN,0
RB,Benny Snell Jr. (25323448),Benny Snell Jr.,25323448,RB/FLEX,4000,CIN@PIT 11/20/2022 04:25PM ET,PIT,0
RB,Jeremy McNichols (25323450),Jeremy McNichols,25323450,RB/FLEX,4000,CIN@PIT 11/20/2022 04:25PM ET,PIT,0
RB,Derek Watt (25323452),Derek Watt,25323452,RB/FLEX,4000,CIN@PIT 11/20/2022 04:25PM ET,PIT,1.16
RB,Anthony McFarland Jr. (25323454),Anthony McFarland Jr.,25323454,RB/FLEX,4000,CIN@PIT 11/20/2022 04:25PM ET,PIT,0
RB,Jason Huntley (25323456),Jason Huntley,25323456,RB/FLEX,4000,CIN@PIT 11/20/2022 04:25PM ET,PIT,0
TE,David Njoku (25323922),David Njoku,25323922,TE/FLEX,3900,CLE@BUF 11/20/2022 01:00PM ET,CLE,11.46
WR,Alec Pierce (25323588),Alec Pierce,25323588,WR/FLEX,3900,PHI@IND 11/20/2022 01:00PM ET,IND,7.84
DST,Eagles  (25324149),Eagles ,25324149,DST,3900,PHI@IND 11/20/2022 01:00PM ET,PHI,10
WR,Ben Skowronek (25323586),Ben Skowronek,25323586,WR/FLEX,3900,LAR@NO 11/20/2022 01:00PM ET,LAR,6.47
WR,James Proche II (25323590),James Proche II,25323590,WR/FLEX,3800,CAR@BAL 11/20/2022 01:00PM ET,BAL,1.61
DST,Bills  (25324150),Bills ,25324150,DST,3800,CLE@BUF 11/20/2022 01:00PM ET,BUF,9.78
WR,KJ Hamler (25323592),KJ Hamler,25323592,WR/FLEX,3800,LV@DEN 11/20/2022 04:05PM ET,DEN,3.69
TE,Greg Dulcich (25323924),Greg Dulcich,25323924,TE/FLEX,3800,LV@DEN 11/20/2022 04:05PM ET,DEN,9.58
