Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Roster Position
63499-88699,RB,Jaret,Jaret Patterson,Patterson,,,4500,LAC@WAS,WAS,LAC,,,,RB/FLEX
63499-33403,WR,Tevin,Tevin Jones,Jones,0,1,4500,JAC@HOU,JAC,HOU,,,,WR/FLEX
63499-94850,WR,Jhamon,Jhamon Ausbon,Ausbon,,,4500,PHI@ATL,PHI,ATL,,,,WR/FLEX
63499-55940,WR,Chad,Chad Hansen,Hansen,7.619999695,5,4500,SF@DET,DET,SF,Q,Undisclosed,,WR/FLEX
63499-55941,RB,Patrick,Patrick Laird,Laird,1.888888889,9,4500,MIA@NE,MIA,NE,,,,RB/FLEX
63499-27273,RB,Andy,Andy Janovich,Janovich,0.270000005,10,4500,CLE@KC,CLE,KC,,,,RB/FLEX
63499-70282,RB,Demetric,Demetric Felton,Felton,,,4500,CLE@KC,CLE,KC,,,,RB/FLEX
63499-90777,WR,Tre,Tre Walker,Walker,,,4500,PIT@BUF,BUF,PIT,,,,WR/FLEX
63499-53913,WR,Cody,Cody Hollister,Hollister,1.700000048,1,4500,ARI@TEN,TEN,ARI,Q,Ankle,,WR/FLEX
63499-55964,RB,Tony,Tony Brooks-James,Brooks-James,0.400000006,1,4500,PIT@BUF,PIT,BUF,,,,RB/FLEX
63499-80546,TE,Dan,Dan Arnold,Arnold,5.420000203,15,4500,NYJ@CAR,CAR,NYJ,,,,TE/FLEX
63499-47780,WR,Taywan,Taywan Taylor,Taylor,0,2,4500,JAC@HOU,HOU,JAC,Q,Undisclosed,,WR/FLEX
63499-64175,WR,Hakeem,Hakeem Butler,Butler,0,2,4500,PHI@ATL,PHI,ATL,,,,WR/FLEX
63499-96942,WR,Keelan,Keelan Doss,Doss,3.133333206,6,4500,PHI@ATL,ATL,PHI,,,,WR/FLEX
63499-25267,WR,Mack,Mack Hollins,Hollins,2.690909126,11,4500,MIA@NE,MIA,NE,,,,WR/FLEX
63499-72370,RB,J.J.,J.J. Taylor,Taylor,1.699999946,7,4500,MIA@NE,NE,MIA,,,,RB/FLEX
63499-72382,RB,Gabe,Gabe Nabers,Nabers,2.212500095,8,4500,LAC@WAS,LAC,WAS,Q,Undisclosed,,RB/FLEX
63499-33472,RB,C.J.,C.J. Prosise,Prosise,2.039999962,5,4500,DAL@TB,TB,DAL,,,,RB/FLEX
63499-64205,WR,Jalen,Jalen McCleskey,McCleskey,0,1,4500,GB@NO,NO,GB,Q,Hamstring,,WR/FLEX
63499-88793,RB,Stevie,Stevie Scott III,Scott III,,,4500,DEN@NYG,DEN,NYG,,,,RB/FLEX
63499-92890,WR,Cody,Cody White,White,0,1,4500,PIT@BUF,PIT,BUF,,,,WR/FLEX
63499-64222,RB,Jordan,Jordan Glasgow,Glasgow,0,2,4500,SEA@IND,IND,SEA,,,,RB/FLEX
63499-70372,WR,Chester,Chester Rogers,Rogers,3.770000076,10,4500,ARI@TEN,TEN,ARI,,,,WR/FLEX
63499-56041,RB,Khari,Khari Blasingame,Blasingame,1.180000019,5,4500,ARI@TEN,TEN,ARI,,,,RB/FLEX
63499-56051,WR,Caleb,Caleb Scott,Scott,,,4500,BAL@LV,LV,BAL,Q,Undisclosed,,WR/FLEX
63499-56059,WR,Trent,Trent Sherfield,Sherfield,1.875,4,4500,SF@DET,SF,DET,,,,WR/FLEX
63499-64252,WR,Tony,Tony Brown,Brown,0,1,4500,LAC@WAS,WAS,LAC,,,,WR/FLEX
63499-88830,WR,Whop,Whop Philyor,Philyor,,,4500,MIN@CIN,MIN,CIN,,,,WR/FLEX
63499-56064,RB,Bo,Bo Scarbrough,Scarbrough,1.549999952,2,4500,BAL@LV,LV,BAL,,,,RB/FLEX
63499-92932,RB,Javian,Javian Hawkins,Hawkins,,,4500,ARI@TEN,TEN,ARI,,,,RB/FLEX
63499-41741,WR,DaeSean,DaeSean Hamilton,Hamilton,4.23333327,12,4500,DEN@NYG,DEN,NYG,IR,Knee - acl,,WR/FLEX
63499-94993,RB,Pooka,Pooka Williams Jr.,Williams Jr.,,,4500,MIN@CIN,CIN,MIN,,,,RB/FLEX
63499-70422,WR,Kalif,Kalif Raymond,Raymond,1.761538432,13,4500,SF@DET,DET,SF,,,,WR/FLEX
63499-56099,RB,Cullen,Cullen Gillaspia,Gillaspia,0.550000012,2,4500,DEN@NYG,NYG,DEN,,,,RB/FLEX
63499-82731,WR,Brandon,Brandon Zylstra,Zylstra,0.849999984,6,4500,NYJ@CAR,CAR,NYJ,,,,WR/FLEX
