Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Roster Position
63499-28080,WR,Devin,Devin Funchess,Funchess,4.699999809,1,4500,GB@NO,GB,NO,Q,Hamstring,,WR/FLEX
63499-60849,WR,Blake,Blake Lynch,Lynch,,,4500,MIN@CIN,MIN,CIN,,,,WR/FLEX
63499-64949,WR,Ja'Marcus,Ja'Marcus Bradley,Bradley,4.25,2,4500,CLE@KC,CLE,KC,,,,WR/FLEX
63499-60861,WR,Damion,Damion Ratley,Ratley,1.383333365,6,4500,SF@DET,DET,SF,,,,WR/FLEX
63499-71105,WR,Ben,Ben Skowronek,Skowronek,,,4500,CHI@LAR,LAR,CHI,O,Forearm,,WR/FLEX
63499-69056,WR,Mathew,Mathew Sexton,Sexton,,,4500,PIT@BUF,PIT,BUF,,,,WR/FLEX
63499-64962,RB,LeVante,LeVante Bellamy,Bellamy,0.699999968,3,4500,DEN@NYG,DEN,NYG,IR,Ankle,,RB/FLEX
63499-26057,RB,Michael,Michael Burton,Burton,1.137500048,8,4500,CLE@KC,KC,CLE,,,,RB/FLEX
63499-64973,WR,Micah,Micah Simon,Simon,,,4500,NYJ@CAR,CAR,NYJ,,,,WR/FLEX
63499-69068,RB,Jonathan,Jonathan Ward,Ward,1.899999976,4,4500,ARI@TEN,ARI,TEN,,,,RB/FLEX
63499-64974,RB,Francis,Francis Bernard,Bernard,0,1,4500,DAL@TB,DAL,TB,IR,Hamstring,,RB/FLEX
63499-71120,WR,Riley,Riley Lees,Lees,,,4500,MIN@CIN,CIN,MIN,,,,WR/FLEX
63499-103896,WR,Nsimba,Nsimba Webster,Webster,-0.125,16,4500,CHI@LAR,CHI,LAR,,,,WR/FLEX
63499-21980,WR,Alshon,Alshon Jeffery,Jeffery,2.5625,8,4500,PHI@ATL,PHI,ATL,,,,WR/FLEX
63499-103901,WR,Davion,Davion Davis,Davis,,,4500,CLE@KC,CLE,KC,IR,Suspension,,WR/FLEX
63499-73180,WR,Binjimen,Binjimen Victor,Victor,0,1,4500,BAL@LV,BAL,LV,Q,Head,,WR/FLEX
63499-103902,WR,Alexander,Alexander Hollins,Hollins,2.799999952,2,4500,CLE@KC,CLE,KC,,,,WR/FLEX
63499-32235,WR,Marcus,Marcus Johnson,Johnson,4.0625,8,4500,ARI@TEN,TEN,ARI,IR,Undisclosed,,WR/FLEX
63499-28157,WR,Bennie,Bennie Fowler III,Fowler III,2.099999905,1,4500,SF@DET,SF,DET,,,,WR/FLEX
63499-54782,TE,Cameron,Cameron Brate,Brate,4.982352762,17,4500,DAL@TB,TB,DAL,,,,TE/FLEX
63499-103943,WR,Trinity,Trinity Benson,Benson,0,1,4500,SF@DET,DET,SF,,,,WR/FLEX
63499-89613,WR,Simi,Simi Fehoko,Fehoko,,,4500,DAL@TB,DAL,TB,,,,WR/FLEX
63499-62994,WR,Steven,Steven Sims Jr.,Sims Jr.,3.928571429,14,4500,PIT@BUF,PIT,BUF,,,,WR/FLEX
63499-22035,WR,Travis,Travis Benjamin,Benjamin,0,1,4500,SF@DET,SF,DET,Q,Concussion,,WR/FLEX
63499-73247,RB,Kene,Kene Nwangwu,Nwangwu,,,4500,MIN@CIN,MIN,CIN,IR,Knee,,RB/FLEX
63499-69150,WR,Jordan,Jordan Veasy,Veasy,0,1,4500,JAC@HOU,HOU,JAC,,,,WR/FLEX
63499-89632,WR,Connor,Connor Wedington,Wedington,,,4500,SEA@IND,SEA,IND,,,,WR/FLEX
63499-38444,RB,Tyler,Tyler Gaffney,Gaffney,,,4500,MIA@NE,NE,MIA,,,,RB/FLEX
63499-63025,RB,Nathan,Nathan Cottrell,Cottrell,0,6,4500,JAC@HOU,JAC,HOU,,,,RB/FLEX
63499-60978,RB,Carl,Carl Tucker,Tucker,,,4500,MIA@NE,MIA,NE,,,,RB/FLEX
63499-60983,WR,Anthony,Anthony Ratliff-Williams,Ratliff-Williams,,,4500,SEA@IND,SEA,IND,,,,WR/FLEX
63499-71228,WR,Marquez,Marquez Stevenson,Stevenson,,,4500,PIT@BUF,BUF,PIT,IR,Head,,WR/FLEX
63499-103998,WR,Thomas,Thomas Ives,Ives,0,2,4500,CHI@LAR,CHI,LAR,Q,Undisclosed,,WR/FLEX
63499-87617,WR,Sage,Sage Surratt,Surratt,,,4500,SF@DET,DET,SF,,,,WR/FLEX
63499-52808,RB,Dontrell,Dontrell Hilliard,Hilliard,1.1,5,4500,JAC@HOU,HOU,JAC,Q,Undisclosed,,RB/FLEX
63499-104012,WR,Ashton,Ashton Dulin,Dulin,0.877777788,9,4500,SEA@IND,IND,SEA,,,,WR/FLEX
63499-54863,WR,C.J.,C.J. Goodwin,Goodwin,0,5,4500,DAL@TB,DAL,TB,,,,WR/FLEX
63499-63061,WR,Gary,Gary Jennings,Jennings,0,1,4500,SEA@IND,IND,SEA,Q,Undisclosed,,WR/FLEX
63499-69215,WR,Josh,Josh Imatorbhebhe,Imatorbhebhe,,,4500,JAC@HOU,JAC,HOU,Q,Undisclosed,,WR/FLEX
63499-22113,RB,Alfred,Alfred Morris,Morris,3.920000076,10,4500,DEN@NYG,NYG,DEN,,,,RB/FLEX
63499-87657,WR,Seth,Seth Williams,Williams,,,4500,DEN@NYG,DEN,NYG,,,,WR/FLEX
63499-104041,WR,Myron,Myron Mitchell,Mitchell,,,4500,MIN@CIN,MIN,CIN,,,,WR/FLEX
63499-71280,WR,Kalija,Kalija Lipscomb,Lipscomb,,,4500,ARI@TEN,TEN,ARI,,,,WR/FLEX
63499-38514,WR,Kevin,Kevin White,White,0,2,4500,GB@NO,NO,GB,,,,WR/FLEX
63499-56946,WR,Ventell,Ventell Bryant,Bryant,0,1,4500,NYJ@CAR,CAR,NYJ,IR,Suspension,,WR/FLEX
63499-93824,WR,Easop,Easop Winston Jr.,Winston Jr.,0,2,4500,GB@NO,NO,GB,,,,WR/FLEX
63499-91783,WR,Warren,Warren Jackson,Jackson,,,4500,MIN@CIN,MIN,CIN,,,,WR/FLEX
63499-61072,WR,Stanley,Stanley Morgan,Morgan,0,1,4500,MIN@CIN,CIN,MIN,,,,WR/FLEX
63499-52902,WR,Trey,Trey Quinn,Quinn,0,3,4500,BAL@LV,LV,BAL,Q,Undisclosed,,WR/FLEX
63499-7856,WR,Matthew,Matthew Slater,Slater,0,1,4500,MIA@NE,NE,MIA,,,,WR/FLEX
63499-89785,RB,Spencer,Spencer Brown,Brown,,,4500,NYJ@CAR,CAR,NYJ,,,,RB/FLEX
63499-71355,RB,Elijah,Elijah Holyfield,Holyfield,0,1,4500,PHI@ATL,PHI,ATL,,,,RB/FLEX
63499-104124,WR,Darrius,Darrius Shepherd,Shepherd,0.728571415,7,4500,CLE@KC,KC,CLE,,,,WR/FLEX
63499-69310,WR,Josh,Josh Hammond,Hammond,0,2,4500,JAC@HOU,JAC,HOU,,,,WR/FLEX
63499-73406,WR,DeVontres,DeVontres Dukes,Dukes,,,4500,DEN@NYG,DEN,NYG,Q,Undisclosed,,WR/FLEX
63499-71360,WR,Tyler,Tyler Simmons,Simmons,,,4500,PIT@BUF,PIT,BUF,,,,WR/FLEX
63499-52931,RB,Eli,Eli Penny,Penny,0.642857143,7,4500,DEN@NYG,NYG,DEN,,,,RB/FLEX
63499-69325,WR,Riley,Riley Ridley,Ridley,2.1,5,4500,CHI@LAR,CHI,LAR,,,,WR/FLEX
63499-71372,WR,Tyrie,Tyrie Cleveland,Cleveland,1.328571456,7,4500,DEN@NYG,DEN,NYG,,,,WR/FLEX
63499-65231,RB,Adam,Adam Prentice,Prentice,,,4500,GB@NO,NO,GB,,,,RB/FLEX
63499-85714,RB,Tory,Tory Carter,Carter,,,4500,ARI@TEN,TEN,ARI,,,,RB/FLEX
63499-71382,WR,Osirus,Osirus Mitchell,Mitchell,,,4500,DAL@TB,DAL,TB,,,,WR/FLEX
63499-89817,WR,Austin,Austin Watkins Jr.,Watkins Jr.,,,4500,SF@DET,SF,DET,Q,Foot,,WR/FLEX
63499-69343,WR,Landen,Landen Akers,Akers,,,4500,CHI@LAR,LAR,CHI,,,,WR/FLEX
63499-40674,WR,Jester,Jester Weah,Weah,0,1,4500,CHI@LAR,CHI,LAR,,,,WR/FLEX
63499-85731,WR,Racey,Racey McMath,McMath,,,4500,ARI@TEN,TEN,ARI,,,,WR/FLEX
63499-147168,WR,Chris,Chris Blair,Blair,,,4500,GB@NO,GB,NO,,,,WR/FLEX
63499-57064,RB,Ryan,Ryan Nall,Nall,1.670000076,10,4500,CHI@LAR,CHI,LAR,,,,RB/FLEX
63499-38634,WR,Ryan,Ryan Switzer,Switzer,0,1,4500,CLE@KC,CLE,KC,IR,Foot,,WR/FLEX
63499-87787,RB,J.K.,J.K. Dobbins,Dobbins,10.61764706,17,4500,BAL@LV,BAL,LV,IR,Knee - acl,,RB/FLEX
63499-71414,WR,Quartney,Quartney Davis,Davis,,,4500,SEA@IND,IND,SEA,IR,Shoulder,,WR/FLEX
63499-26384,RB,Trey,Trey Edmunds,Edmunds,0,1,4500,PIT@BUF,PIT,BUF,,,,RB/FLEX
63499-61200,WR,Jaylinn,Jaylinn Hawkins,Hawkins,0,1,4500,PHI@ATL,ATL,PHI,,,,WR/FLEX
63499-55088,WR,Malik,Malik Turner,Turner,0,1,4500,DAL@TB,DAL,TB,IR,Foot,,WR/FLEX
63499-65331,RB,Sutton,Sutton Smith,Smith,0,1,4500,GB@NO,NO,GB,,,,RB/FLEX
63499-71477,WR,Maurice,Maurice Ffrench,Ffrench,,,4500,CLE@KC,KC,CLE,,,,WR/FLEX
63499-73551,WR,Stantley,Stantley Thomas-Oliver III,Thomas-Oliver III,0,2,4500,NYJ@CAR,CAR,NYJ,,,,WR/FLEX
63499-28502,WR,Devin,Devin Smith,Smith,6.599999746,3,4500,JAC@HOU,JAC,HOU,,,,WR/FLEX
63499-63319,WR,K.J.,K.J. Hill,Hill,0.800000017,11,4500,LAC@WAS,LAC,WAS,,,,WR/FLEX
63499-26458,WR,Tavon,Tavon Austin,Austin,0.416666667,6,4500,JAC@HOU,JAC,HOU,IR,Quadriceps,,WR/FLEX
63499-71519,WR,Dillon,Dillon Stoner,Stoner,,,4500,BAL@LV,LV,BAL,,,,WR/FLEX
63499-104289,WR,Malik,Malik Taylor,Taylor,1.6,10,4500,GB@NO,GB,NO,,,,WR/FLEX
63499-63330,RB,Mike,Mike Weber,Weber,,,4500,DEN@NYG,NYG,DEN,Q,Hip,,RB/FLEX
63499-104297,WR,Jason,Jason Moore Jr.,Moore Jr.,0,1,4500,LAC@WAS,LAC,WAS,Q,Undisclosed,,WR/FLEX
63499-89970,WR,Amari,Amari Rodgers,Rodgers,,,4500,GB@NO,GB,NO,,,,WR/FLEX
63499-63360,WR,Antonio,Antonio Callaway,Callaway,0.75,4,4500,CLE@KC,KC,CLE,Q,Knee,,WR/FLEX
63499-28545,RB,Rod,Rod Smith,Smith,0,1,4500,NYJ@CAR,CAR,NYJ,,,,RB/FLEX
63499-40843,RB,Alex,Alex Collins,Collins,6.866666794,3,4500,SEA@IND,SEA,IND,,,,RB/FLEX
63499-69518,WR,T.J.,T.J. Simmons Jr.,Simmons Jr.,,,4500,DAL@TB,TB,DAL,,,,WR/FLEX
63499-63383,RB,Jordan,Jordan Scarlett,Scarlett,0,2,4500,MIA@NE,MIA,NE,,,,RB/FLEX
63499-71578,RB,Artavis,Artavis Pierce,Pierce,1.879999924,5,4500,CHI@LAR,CHI,LAR,,,,RB/FLEX
63499-14237,TE,Kyle,Kyle Rudolph,Rudolph,4.28333346,12,4500,DEN@NYG,NYG,DEN,Q,Foot,,TE/FLEX
63499-40866,WR,J'Mon,J'Mon Moore,Moore,0,1,4500,PHI@ATL,ATL,PHI,Q,Undisclosed,,WR/FLEX
63499-63399,WR,Terry,Terry Godwin,Godwin,1.25,4,4500,JAC@HOU,JAC,HOU,IR,Undisclosed,,WR/FLEX
63499-34729,RB,Dwayne,Dwayne Washington,Washington,0.283333341,6,4500,GB@NO,NO,GB,,,,RB/FLEX
63499-63403,RB,Tae,Tae Crowder,Crowder,3,2,4500,DEN@NYG,NYG,DEN,,,,RB/FLEX
63499-69558,WR,Greg,Greg Dortch,Dortch,0,2,4500,ARI@TEN,ARI,TEN,,,,WR/FLEX
63499-55224,RB,Reggie,Reggie Bonnafon,Bonnafon,3.924999952,4,4500,NYJ@CAR,CAR,NYJ,Q,Undisclosed,,RB/FLEX
63499-63419,WR,Andy,Andy Isabella,Isabella,4.027272658,11,4500,ARI@TEN,ARI,TEN,,,,WR/FLEX
63499-92093,WR,Jaelon,Jaelon Darden,Darden,,,4500,DAL@TB,TB,DAL,,,,WR/FLEX
63499-32703,WR,Jakeem,Jakeem Grant,Grant,4.950000218,14,4500,MIA@NE,MIA,NE,,,,WR/FLEX
63499-61379,RB,Kerrith,Kerrith Whyte Jr.,Whyte Jr.,0,1,4500,PIT@BUF,BUF,PIT,,,,RB/FLEX
63499-104388,WR,Tom,Tom Kennedy,Kennedy,0,1,4500,SF@DET,DET,SF,,,,WR/FLEX
63499-69577,RB,Tre,Tre Harbison,Harbison,,,4500,CLE@KC,CLE,KC,IR,Concussion,,RB/FLEX
63499-40932,WR,Pharoh,Pharoh Cooper,Cooper,0.653333346,15,4500,JAC@HOU,JAC,HOU,,,,WR/FLEX
63499-104424,RB,Craig,Craig Reynolds,Reynolds,0.400000016,3,4500,SF@DET,DET,SF,,,,RB/FLEX
63499-71661,WR,Tino,Tino Ellis,Ellis,,,4500,MIA@NE,MIA,NE,,,,WR/FLEX
63499-104429,WR,Khalil,Khalil McClain,McClain,,,4500,MIA@NE,MIA,NE,,,,WR/FLEX
63499-65518,WR,John,John Ursua,Ursua,0,1,4500,SEA@IND,SEA,IND,IR,Knee - acl,,WR/FLEX
63499-14319,RB,Taiwan,Taiwan Jones,Jones,0,3,4500,PIT@BUF,BUF,PIT,,,,RB/FLEX
63499-71662,WR,DJ,DJ Turner,Turner,,,4500,BAL@LV,LV,BAL,,,,WR/FLEX
63499-63479,RB,John,John Kelly,Kelly,0,1,4500,CLE@KC,CLE,KC,,,,RB/FLEX
63499-28694,TE,Jesse,Jesse James,James,2.658333302,12,4400,CHI@LAR,CHI,LAR,,,,TE/FLEX
63499-55336,TE,Chris,Chris Herndon,Herndon,4.476923136,13,4400,MIN@CIN,MIN,CIN,,,,TE/FLEX
63499-86244,TE,Pat,Pat Freiermuth,Freiermuth,,,4400,PIT@BUF,PIT,BUF,,,,TE/FLEX
63499-12541,D,New England,New England Patriots,Patriots,6.75,16,4400,MIA@NE,NE,MIA,,,,DEF
63499-54007,TE,Jacob,Jacob Hollister,Hollister,3.560000102,15,4400,JAC@HOU,JAC,HOU,,,,TE/FLEX
63499-72515,TE,Ian,Ian Thomas,Thomas,2.346153846,13,4400,NYJ@CAR,CAR,NYJ,,,,TE/FLEX
63499-60451,TE,Tyler,Tyler Conklin,Conklin,4.985714504,7,4400,MIN@CIN,MIN,CIN,,,,TE/FLEX
63499-56708,TE,Will,Will Dissly,Dissly,3.106250048,16,4400,SEA@IND,SEA,IND,,,,TE/FLEX
63499-38301,TE,Darren,Darren Fells,Fells,5.474999746,12,4400,SF@DET,DET,SF,,,,TE/FLEX
63499-14348,TE,Lee,Lee Smith,Smith,3.5,5,4300,PHI@ATL,ATL,PHI,,,,TE/FLEX
63499-12548,D,Los Angeles,Los Angeles Chargers,Chargers,5,16,4300,LAC@WAS,LAC,WAS,,,,DEF
63499-6672,TE,Marcedes,Marcedes Lewis,Lewis,3.454545455,11,4300,GB@NO,GB,NO,,,,TE/FLEX
63499-29314,TE,Richard,Richard Rodgers,Rodgers,7.3125,8,4300,PHI@ATL,PHI,ATL,,,,TE/FLEX
63499-29411,TE,Pharaoh,Pharaoh Brown,Brown,4.412499905,8,4300,JAC@HOU,HOU,JAC,,,,TE/FLEX
63499-56711,TE,Drew,Drew Sample,Sample,3.681250095,16,4300,MIN@CIN,CIN,MIN,,,,TE/FLEX
63499-28346,TE,Maxx,Maxx Williams,Williams,2.525000095,8,4300,ARI@TEN,ARI,TEN,Q,Illness,,TE/FLEX
63499-104278,TE,Donald,Donald Parham Jr.,Parham Jr.,3.890000153,10,4300,LAC@WAS,LAC,WAS,,,,TE/FLEX
63499-79967,TE,Adam,Adam Shaheen,Shaheen,3,13,4200,MIA@NE,MIA,NE,IR,Illness,,TE/FLEX
63499-63697,TE,Brycen,Brycen Hopkins,Hopkins,0,2,4200,CHI@LAR,LAR,CHI,,,,TE/FLEX
63499-12552,D,Washington,Washington Football Team,Football Team,7.823529412,17,4200,LAC@WAS,WAS,LAC,,,,DEF
63499-41469,TE,Darrell,Darrell Daniels,Daniels,2.400000095,8,4200,ARI@TEN,ARI,TEN,,,,TE/FLEX
63499-62510,TE,Nick,Nick Boyle,Boyle,3.366666582,9,4200,BAL@LV,BAL,LV,D,Knee - mcl,,TE/FLEX
63499-83138,TE,Ross,Ross Dwelley,Dwelley,3.333333333,12,4200,SF@DET,SF,DET,,,,TE/FLEX
63499-70859,TE,Albert,Albert Okwuegbunam,Okwuegbunam,5.900000095,4,4200,DEN@NYG,DEN,NYG,,,,TE/FLEX
63499-73089,TE,Devin,Devin Asiasi,Asiasi,2.179999924,5,4200,MIA@NE,NE,MIA,,,,TE/FLEX
63499-18009,TE,Chris,Chris Manhertz,Manhertz,1.171428544,7,4200,JAC@HOU,JAC,HOU,,,,TE/FLEX
63499-38523,TE,Geoff,Geoff Swaim,Swaim,2.82857132,7,4200,ARI@TEN,TEN,ARI,,,,TE/FLEX
63499-61112,TE,Josiah,Josiah Deguara,Deguara,1.700000048,1,4200,GB@NO,GB,NO,,,,TE/FLEX
63499-94094,TE,Brevin,Brevin Jordan,Jordan,,,4200,JAC@HOU,HOU,JAC,,,,TE/FLEX
63499-28570,TE,Nick,Nick Vannett,Vannett,2.045454545,11,4200,GB@NO,NO,GB,IR,Knee,,TE/FLEX
63499-79980,TE,Eric,Eric Saubert,Saubert,0.516666651,6,4100,DEN@NYG,DEN,NYG,,,,TE/FLEX
63499-71806,TE,Kaden,Kaden Smith,Smith,1.442857197,14,4100,DEN@NYG,NYG,DEN,,,,TE/FLEX
63499-86178,TE,Dominique,Dominique Dafney,Dafney,2.400000095,4,4100,GB@NO,GB,NO,,,,TE/FLEX
63499-12531,D,Denver,Denver Broncos,Broncos,5.0625,16,4100,DEN@NYG,DEN,NYG,,,,DEF
63499-12535,D,Indianapolis,Indianapolis Colts,Colts,8.647058824,17,4100,SEA@IND,IND,SEA,,,,DEF
63499-65839,TE,Kahale,Kahale Warring,Warring,1.25,4,4100,PIT@BUF,BUF,PIT,,,,TE/FLEX
63499-55609,TE,Ryan,Ryan Izzo,Izzo,2.439999962,10,4100,DEN@NYG,NYG,DEN,,,,TE/FLEX
63499-22920,TE,Derek,Derek Carrier,Carrier,0.949999988,2,4100,BAL@LV,LV,BAL,,,,TE/FLEX
63499-45472,TE,Garrett,Garrett Griffin,Griffin,,,4100,GB@NO,NO,GB,,,,TE/FLEX
63499-63907,TE,Josh,Josh Oliver,Oliver,0,2,4100,BAL@LV,BAL,LV,,,,TE/FLEX
63499-47551,TE,Mason,Mason Schreck,Schreck,0,2,4100,MIN@CIN,CIN,MIN,,,,TE/FLEX
63499-31169,TE,Jeremy,Jeremy Sprinkle,Sprinkle,0.480000019,5,4100,DAL@TB,DAL,TB,,,,TE/FLEX
63499-84440,TE,Jaeden,Jaeden Graham,Graham,0.666666667,6,4100,PHI@ATL,ATL,PHI,IR,Knee,,TE/FLEX
63499-86770,TE,Hunter,Hunter Bryant,Bryant,1.633333365,3,4100,SF@DET,DET,SF,IR,Undisclosed,,TE/FLEX
63499-27403,TE,Blake,Blake Bell,Bell,1.518181888,11,4100,CLE@KC,KC,CLE,,,,TE/FLEX
63499-56212,TE,Tommy,Tommy Sweeney,Sweeney,3.079999924,5,4100,PIT@BUF,BUF,PIT,,,,TE/FLEX
63499-91101,TE,Tommy,Tommy Tremble,Tremble,,,4100,NYJ@CAR,CAR,NYJ,,,,TE/FLEX
63499-72705,TE,John,John Bates,Bates,,,4100,LAC@WAS,WAS,LAC,,,,TE/FLEX
63499-70705,TE,Trevon,Trevon Wesco,Wesco,0.333333333,3,4100,NYJ@CAR,NYJ,CAR,,,,TE/FLEX
63499-68730,TE,Sean,Sean McKeon,McKeon,0,1,4100,DAL@TB,DAL,TB,IR,Ankle,,TE/FLEX
63499-89283,TE,Tre',Tre' McKitty,McKitty,,,4100,LAC@WAS,LAC,WAS,,,,TE/FLEX
63499-64833,TE,Alize,Alize Mack,Mack,,,4100,SF@DET,DET,SF,,,,TE/FLEX
63499-64864,TE,Noah,Noah Togiai,Togiai,0,2,4100,SEA@IND,IND,SEA,Q,Undisclosed,,TE/FLEX
63499-73176,TE,Luke,Luke Farrell,Farrell,,,4100,JAC@HOU,JAC,HOU,,,,TE/FLEX
63499-103900,TE,Brandon,Brandon Dillon,Dillon,1.100000024,1,4100,MIN@CIN,MIN,CIN,,,,TE/FLEX
63499-62998,TE,Jace,Jace Sternberger,Sternberger,2.924999952,8,4100,GB@NO,GB,NO,IR,Suspension,,TE/FLEX
63499-71351,TE,Charlie,Charlie Woerner,Woerner,1.274999976,4,4100,SF@DET,SF,DET,,,,TE/FLEX
63499-16078,TE,Ross,Ross Travis,Travis,0,1,4100,ARI@TEN,ARI,TEN,,,,TE/FLEX
63499-85994,TE,Dalton,Dalton Keene,Keene,0.774999976,4,4100,MIA@NE,NE,MIA,IR,Knee - meniscus,,TE/FLEX
63499-90123,TE,Quintin,Quintin Morris,Morris,,,4000,PIT@BUF,BUF,PIT,,,,TE/FLEX
63499-71697,TE,Shaun,Shaun Beyer,Beyer,,,4000,DEN@NYG,DEN,NYG,,,,TE/FLEX
63499-40977,TE,Ricky,Ricky Seals-Jones,Seals-Jones,0,1,4000,LAC@WAS,WAS,LAC,,,,TE/FLEX
63499-137249,TE,Briley,Briley Moore-McKinney,Moore-McKinney,,,4000,ARI@TEN,TEN,ARI,IR,Knee - acl,,TE/FLEX
63499-59455,TE,Sammis,Sammis Reyes,Reyes,,,4000,LAC@WAS,WAS,LAC,,,,TE/FLEX
63499-30787,TE,Alex,Alex Ellis,Ellis,0,1,4000,BAL@LV,LV,BAL,Q,Undisclosed,,TE/FLEX
63499-65607,TE,Jacob,Jacob Harris,Harris,,,4000,CHI@LAR,LAR,CHI,,,,TE/FLEX
63499-63565,TE,Jake,Jake Breeland,Breeland,0,1,4000,BAL@LV,BAL,LV,Q,Knee - acl,,TE/FLEX
63499-30800,TE,Jason,Jason Croom,Croom,6.800000191,1,4000,PHI@ATL,PHI,ATL,IR,Knee,,TE/FLEX
63499-71767,TE,Caleb,Caleb Wilson,Wilson,0,1,4000,LAC@WAS,WAS,LAC,,,,TE/FLEX
63499-80011,TE,Antony,Antony Auclair,Auclair,0,1,4000,JAC@HOU,HOU,JAC,,,,TE/FLEX
63499-32957,TE,Eric,Eric Tomlinson,Tomlinson,0,2,4000,BAL@LV,BAL,LV,,,,TE/FLEX
63499-65737,TE,Sam,Sam Tecklenburg,Tecklenburg,0,2,4000,NYJ@CAR,CAR,NYJ,,,,TE/FLEX
63499-149708,TE,Zach,Zach Davidson,Davidson,,,4000,MIN@CIN,MIN,CIN,,,,TE/FLEX
63499-149727,TE,Bernhard,Bernhard Seikovits,Seikovits,,,4000,ARI@TEN,ARI,TEN,,,,TE/FLEX
63499-12539,D,Miami,Miami Dolphins,Dolphins,9,16,4000,MIA@NE,MIA,NE,,,,DEF
63499-61693,TE,Danny,Danny Pinter,Pinter,0,1,4000,SEA@IND,IND,SEA,Q,Foot,,TE/FLEX
63499-12547,D,Pittsburgh,Pittsburgh Steelers,Steelers,8.470588235,17,4000,PIT@BUF,PIT,BUF,,,,DEF
63499-12551,D,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,7.75,20,4000,DAL@TB,TB,DAL,,,,DEF
63499-69898,TE,Artayvious,Artayvious Lynn,Lynn,,,4000,DAL@TB,DAL,TB,,,,TE/FLEX
63499-90398,TE,Matt,Matt Bushman,Bushman,,,4000,BAL@LV,LV,BAL,,,,TE/FLEX
63499-149827,TE,Nick,Nick Guggemos,Guggemos,,,4000,LAC@WAS,WAS,LAC,,,,TE/FLEX
63499-149832,TE,Shane,Shane Zylstra,Zylstra,,,4000,SF@DET,DET,SF,,,,TE/FLEX
63499-63839,TE,Tyler,Tyler Mabry,Mabry,0,1,4000,SEA@IND,SEA,IND,,,,TE/FLEX
63499-63841,TE,Matt,Matt Seybert,Seybert,,,4000,LAC@WAS,LAC,WAS,,,,TE/FLEX
63499-94609,TE,Pro,Pro Wells,Wells,,,4000,MIN@CIN,CIN,MIN,,,,TE/FLEX
63499-64023,TE,Kyle,Kyle Markway,Markway,0,1,4000,CLE@KC,CLE,KC,,,,TE/FLEX
63499-14895,TE,Patrick,Patrick Scales,Scales,0,2,4000,CHI@LAR,CHI,LAR,,,,TE/FLEX
63499-68155,TE,Codey,Codey McElroy,McElroy,3.5,1,4000,DAL@TB,TB,DAL,,,,TE/FLEX
63499-41552,TE,Dylan,Dylan Cantrell,Cantrell,0,2,4000,LAC@WAS,WAS,LAC,IR,Undisclosed,,TE/FLEX
63499-55895,TE,Kendall,Kendall Blanton,Blanton,0,2,4000,CHI@LAR,LAR,CHI,,,,TE/FLEX
63499-64088,TE,Cheyenne,Cheyenne O'Grady,O'Grady,,,4000,MIN@CIN,CIN,MIN,,,,TE/FLEX
63499-29277,TE,Stephen,Stephen Anderson,Anderson,3.650000095,4,4000,LAC@WAS,LAC,WAS,,,,TE/FLEX
63499-47788,TE,Deon,Deon Yelder,Yelder,1.183333317,6,4000,DAL@TB,TB,DAL,,,,TE/FLEX
63499-62127,TE,Cole,Cole Hikutini,Hikutini,0,1,4000,DEN@NYG,NYG,DEN,Q,Hip,,TE/FLEX
63499-70342,TE,Temarrick,Temarrick Hemingway,Hemingway,0.5,3,4000,LAC@WAS,WAS,LAC,,,,TE/FLEX
63499-29390,TE,Evan,Evan Baylis,Baylis,0,2,4000,CLE@KC,KC,CLE,Q,Ankle,,TE/FLEX
63499-64221,TE,Zach,Zach Gentry,Gentry,0,1,4000,PIT@BUF,PIT,BUF,,,,TE/FLEX
63499-54011,TE,Austin,Austin Fort,Fort,0,1,4000,DEN@NYG,DEN,NYG,,,,TE/FLEX
63499-70426,TE,Reggie,Reggie Gilliam,Gilliam,4.300000191,2,4000,PIT@BUF,BUF,PIT,,,,TE/FLEX
63499-58189,TE,Mitchell,Mitchell Fraboni,Fraboni,,,4000,JAC@HOU,HOU,JAC,,,,TE/FLEX
63499-66402,TE,Jack,Jack Driscoll,Driscoll,0,1,4000,PHI@ATL,PHI,ATL,IR,Undisclosed,,TE/FLEX
63499-23435,TE,Andrew,Andrew DePaola,DePaola,,,4000,MIN@CIN,MIN,CIN,,,,TE/FLEX
63499-19342,TE,Demetrius,Demetrius Harris,Harris,0.888888889,9,4000,ARI@TEN,ARI,TEN,,,,TE/FLEX
63499-93075,TE,Hunter,Hunter Long,Long,,,4000,MIA@NE,MIA,NE,,,,TE/FLEX
63499-64408,TE,Nick,Nick Bowers,Bowers,,,4000,BAL@LV,LV,BAL,,,,TE/FLEX
63499-91046,TE,Brock,Brock Wright,Wright,,,4000,SF@DET,DET,SF,,,,TE/FLEX
63499-70604,TE,John,John Raine,Raine,,,4000,PHI@ATL,ATL,PHI,,,,TE/FLEX
63499-93143,TE,Noah,Noah Gray,Gray,,,4000,CLE@KC,KC,CLE,,,,TE/FLEX
63499-72665,TE,Kenny,Kenny Yeboah,Yeboah,,,4000,NYJ@CAR,NYJ,CAR,,,,TE/FLEX
